name,party,chamber,district,partyUnity,independenceRate,votedWithParty,partyLineVotes,participationRate,missedRate,cast,missed,totalRollCalls,presidingOfficer,id
Mike Cameron,Republican,House of Representatives,1,1.0,0.0,344,344,0.9936,0.0064,1241,8,1249,false,ocd-person/f4f9be12-5d7c-4fae-8b7b-9e9d19d2282f
Steve Tarvin,Republican,House of Representatives,2,0.9942,0.0058,341,343,0.9872,0.0128,1233,16,1249,false,ocd-person/80f4bbdf-02f3-4233-8456-e550e7e745af
Mitchell Horner,Republican,House of Representatives,3,0.9822,0.0178,331,337,0.9544,0.0456,1192,57,1249,false,ocd-person/c4c6c741-0cb4-4179-b46d-9983421b8fdd
Kasey Carpenter,Republican,House of Representatives,4,1.0,0.0,335,335,0.9456,0.0544,1181,68,1249,false,ocd-person/97a40ea4-674f-4b84-8fd3-8bc2f3b4a35d
Matt Barton,Republican,House of Representatives,5,1.0,0.0,344,344,0.9984,0.0016,1247,2,1249,false,ocd-person/9103b29e-964b-4637-9304-0e73216d7796
Jason Ridley,Republican,House of Representatives,6,0.997,0.003,327,328,0.9962,0.0038,1049,4,1053,false,ocd-person/594aa971-500b-42a4-9d7a-1ceb4c029220
Johnny Chastain,Republican,House of Representatives,7,1.0,0.0,344,344,0.9936,0.0064,1241,8,1249,false,ocd-person/8106e2d8-e1e3-42a8-b550-fbd2627fa474
Stan Gunter,Republican,House of Representatives,8,1.0,0.0,344,344,0.968,0.032,1209,40,1249,false,ocd-person/432ef767-d4c8-4736-b2ac-96397205fb3d
Will Wade,Republican,House of Representatives,9,0.9964,0.0036,273,274,0.9143,0.0857,1142,107,1249,false,ocd-person/97a002db-6151-4fdf-9bce-013a6344764f
Victor Anderson,Republican,House of Representatives,10,0.9971,0.0029,341,342,0.992,0.008,1239,10,1249,false,ocd-person/546d682f-b256-4060-8fd3-084d7f118d43
Rick Jasperse,Republican,House of Representatives,11,0.9942,0.0058,342,344,0.9584,0.0416,1197,52,1249,false,ocd-person/4d1f5379-01e9-4f58-9868-42acc07ec7a8
Eddie Lumsden,Republican,House of Representatives,12,1.0,0.0,344,344,0.9992,0.0008,1248,1,1249,false,ocd-person/f33d979c-554c-433e-ad0f-837eef1da589
Katie Dempsey,Republican,House of Representatives,13,1.0,0.0,344,344,0.9704,0.0296,1212,37,1249,false,ocd-person/bf68b3dc-ca81-49f9-8e33-fe27317183d3
Mitchell Scoggins,Republican,House of Representatives,14,1.0,0.0,343,343,0.9848,0.0152,1230,19,1249,false,ocd-person/7ac30a66-1649-4a8c-a72f-a4b9a7ab1534
Matthew Gambill,Republican,House of Representatives,15,0.9971,0.0029,342,343,0.9832,0.0168,1228,21,1249,false,ocd-person/909e9026-e549-494b-be99-e8562a389e0c
Trey Kelley,Republican,House of Representatives,16,0.9942,0.0058,340,342,0.9808,0.0192,1225,24,1249,false,ocd-person/6ac8933e-8dde-4902-8eec-61cc5a91c844
Martin Momtahan,Republican,House of Representatives,17,0.997,0.003,336,337,0.9672,0.0328,1208,41,1249,false,ocd-person/6552dd8d-1020-4bbb-abfc-88975573ebd4
Tyler Smith,Republican,House of Representatives,18,1.0,0.0,11,11,1.0,0.0,621,0,621,false,ocd-person/4b162447-89a7-4ffc-acbf-617e1ad87e2a
Joseph Gullett,Republican,House of Representatives,19,0.9971,0.0029,339,340,0.9856,0.0144,1231,18,1249,false,ocd-person/f36d2507-b19a-4ee5-b4f9-5c06df761edf
Charlice Byrd,Republican,House of Representatives,20,0.9294,0.0706,316,340,0.9504,0.0496,1187,62,1249,false,ocd-person/0d75f0d9-0242-4f72-b4f3-1cd085eb26b6
Brad Thomas,Republican,House of Representatives,21,0.9971,0.0029,341,342,0.9784,0.0216,1222,27,1249,false,ocd-person/933a841a-19d6-42c2-a046-991ff9903a23
Jordan Ridley,Republican,House of Representatives,22,0.997,0.003,327,328,0.9962,0.0038,1049,4,1053,false,ocd-person/56f28f8a-9296-4e69-9bd4-d0101a42b359
Bill Fincher,Republican,House of Representatives,23,0.9967,0.0033,303,304,0.991,0.009,768,7,775,false,ocd-person/f2444048-8c14-45b2-b700-37f7899fa5bb
Carter Barrett,Republican,House of Representatives,24,0.9942,0.0058,340,342,0.98,0.02,1224,25,1249,false,ocd-person/72370a62-92f4-46f1-ab7b-193a643085b8
Todd Jones,Republican,House of Representatives,25,1.0,0.0,2,2,1.0,0.0,581,0,581,false,ocd-person/45567c87-3ba6-49ec-9ea2-5ebb880aa94c
Lauren McDonald,Republican,House of Representatives,26,1.0,0.0,344,344,0.9936,0.0064,1241,8,1249,false,ocd-person/7767ee85-7961-45ba-adc2-c3606b1c39b8
Lee Hawkins,Republican,House of Representatives,27,1.0,0.0,344,344,1.0,0.0,1249,0,1249,false,ocd-person/69493144-3e3e-49a8-9e1f-f9a948fd0ff3
Brent Cox,Republican,House of Representatives,28,0.9942,0.0058,342,344,0.9888,0.0112,1235,14,1249,false,ocd-person/c0b205e2-1542-4802-896d-fa7b2b6fc4d9
Matt Dubnik,Republican,House of Representatives,29,0.9797,0.0203,337,344,0.9888,0.0112,1235,14,1249,false,ocd-person/99f0a2a7-8817-4756-a40e-575e259890e7
Derrick McCollum,Republican,House of Representatives,30,0.9971,0.0029,342,343,0.972,0.028,1214,35,1249,false,ocd-person/3a323603-753e-4380-993c-9bb2a7fc55f3
Emory Dunahoo,Republican,House of Representatives,31,0.9735,0.0265,331,340,0.9392,0.0608,1173,76,1249,false,ocd-person/3b2b9f31-6859-4582-8d82-581597c0c178
Chris Erwin,Republican,House of Representatives,32,1.0,0.0,344,344,0.9976,0.0024,1246,3,1249,false,ocd-person/d79c3e9b-b73d-416b-9bfd-8a0338d8256c
Alan Powell,Republican,House of Representatives,33,0.9942,0.0058,342,344,0.992,0.008,1239,10,1249,false,ocd-person/bb48e87c-29db-4a4d-a278-fa299be2020e
Devan Seabaugh,Republican,House of Representatives,34,1.0,0.0,344,344,0.9928,0.0072,1240,9,1249,false,ocd-person/8f76af22-98dc-4e1e-ba99-75b87c1129d6
Lisa Campbell,Democratic,House of Representatives,35,0.0,1.0,0,1,1.0,0.0,781,0,781,false,ocd-person/3a23acfd-5ce6-4e47-b641-1efdab05bdca
Ginny Ehrhart,Republican,House of Representatives,36,1.0,0.0,343,343,0.9488,0.0512,1185,64,1249,false,ocd-person/be05ace3-ea73-4f3f-85ae-c5ed313d4cbe
Mary Frances Williams,Democratic,House of Representatives,37,0.9968,0.0032,313,314,0.9497,0.0503,887,47,934,false,ocd-person/4aec761f-5117-4f43-a487-9d77418f0bfa
David Wilkerson,Democratic,House of Representatives,38,0.9734,0.0266,329,338,0.9135,0.0865,1141,108,1249,false,ocd-person/83a7bbf2-d69c-4813-bbeb-52820e6b9af4
Terry Cummings,Democratic,House of Representatives,39,0.9731,0.0269,325,334,0.9207,0.0793,1150,99,1249,false,ocd-person/aa7405f9-5c37-4ce8-a7eb-ac5949a6e776
Kimberly New,Republican,House of Representatives,40,1.0,0.0,343,343,0.988,0.012,1234,15,1249,false,ocd-person/fc1a5e1f-6ce4-47ab-987b-095afa166359
Michael Smith,Democratic,House of Representatives,41,0.0,1.0,0,11,1.0,0.0,621,0,621,false,ocd-person/68185f1d-fa54-4571-b305-fcd6c7dc024e
Gabriel Sanchez,Democratic,House of Representatives,42,0.9942,0.0058,340,342,0.9416,0.0584,1176,73,1249,false,ocd-person/bd990496-ea34-4b79-8d6f-68cfed424c15
Solomon Adesanya,Democratic,House of Representatives,43,0.973,0.027,324,333,0.9255,0.0745,1156,93,1249,false,ocd-person/5474fbe2-6cdb-4ad2-9831-cdffaca442af
Don Parsons,Republican,House of Representatives,44,0.994,0.006,333,335,0.98,0.02,1224,25,1249,false,ocd-person/81dde544-49e9-4fb0-9313-32eacaf6194b
Sharon Cooper,Republican,House of Representatives,45,1.0,0.0,338,338,0.9432,0.0568,1178,71,1249,false,ocd-person/15db25fc-273b-467f-b8f9-897337f40b65
John Carson,Republican,House of Representatives,46,0.9971,0.0029,343,344,0.8735,0.1265,1091,158,1249,false,ocd-person/713cac52-0a57-4baa-8273-6eeca5b491df
Jan Jones,Republican,House of Representatives,47,1.0,0.0,2,2,1.0,0.0,581,0,581,false,ocd-person/85740034-23b0-4001-9190-8948bd9f3b37
Scott Hilton,Republican,House of Representatives,48,0.9971,0.0029,343,344,0.9648,0.0352,1205,44,1249,false,ocd-person/91abe321-5ea4-4f17-b8d8-573d7cb913e6
Chuck Martin,Republican,House of Representatives,49,1.0,0.0,264,264,0.9095,0.0905,1136,113,1249,false,ocd-person/42517dd7-eccb-4d22-a795-cbd010b69ee6
Michelle Au,Democratic,House of Representatives,50,0.9464,0.0536,318,336,0.9055,0.0945,1131,118,1249,false,ocd-person/48b46caf-d38e-46ab-96ff-c268e23a7d76
Esther Panitch,Democratic,House of Representatives,51,0.9265,0.0735,315,340,0.9752,0.0248,1218,31,1249,false,ocd-person/bdc621be-7296-4383-8c45-b4533d1c106c
Shea Roberts,Democratic,House of Representatives,52,0.9677,0.0323,330,341,0.9648,0.0352,1205,44,1249,false,ocd-person/9007dcd9-3246-4cf3-9185-7478b3a9ad7a
Deborah Silcox,Republican,House of Representatives,53,0.9877,0.0123,161,163,0.799,0.201,998,251,1249,false,ocd-person/b824f8fd-7343-449d-8027-fcd0afaf1949
Betsy Holland,Democratic,House of Representatives,54,0.9763,0.0237,329,337,0.9087,0.0913,1135,114,1249,false,ocd-person/c2c81ffc-f4b1-40f4-96b0-6309f89902ee
Inga Willis,Democratic,House of Representatives,55,1.0,0.0,291,291,0.8639,0.1361,1079,170,1249,false,ocd-person/f02d369f-2d48-4d8d-853d-77ce5a8810fc
Bryce Berry,Democratic,House of Representatives,56,1.0,0.0,342,342,0.9488,0.0512,1185,64,1249,false,ocd-person/b1187e7a-8cea-4e91-9c9f-7c7c61df3c85
Stacey Evans,Democratic,House of Representatives,57,0.9738,0.0262,334,343,0.9816,0.0184,1226,23,1249,false,ocd-person/fa5d8d09-a0b9-4ba4-93da-a24902530416
Park Cannon,Democratic,House of Representatives,58,0.25,0.75,1,4,0.9915,0.0085,580,5,585,false,ocd-person/5c5ab5cb-54f6-4218-8d1d-a99d36bca436
Phil Olaleye,Democratic,House of Representatives,59,0.9883,0.0117,339,343,0.9744,0.0256,1217,32,1249,false,ocd-person/80928bd9-c963-4b21-954c-c62ee9373064
Sheila Jones,Democratic,House of Representatives,60,0.0,1.0,0,2,1.0,0.0,581,0,581,false,ocd-person/b278b399-5ca3-4cd7-bc19-4053166577a2
Mekyah McQueen,Democratic,House of Representatives,61,1.0,0.0,332,332,0.8559,0.1441,1069,180,1249,false,ocd-person/f0af2586-d535-4e44-bcaa-65239f9390b1
Tanya Miller,Democratic,House of Representatives,62,0.988,0.012,329,333,0.8527,0.1473,1065,184,1249,false,ocd-person/6e5432a3-09ed-4813-b11d-e97222bb7e4d
Kim Schofield,Democratic,House of Representatives,63,1.0,0.0,344,344,0.988,0.012,1234,15,1249,false,ocd-person/eff357d0-3187-4a7b-93fe-2d54d010b093
Robert Dawson,Democratic,House of Representatives,65,0.9086,0.0914,308,339,0.984,0.016,1229,20,1249,false,ocd-person/5d77204f-89e7-43df-bccb-a08b9956132d
Kimberly Alexander,Democratic,House of Representatives,66,0.9942,0.0058,342,344,0.9904,0.0096,1237,12,1249,false,ocd-person/275b772e-6407-4aaa-8bd6-ceddad1da7fa
Lydia Glaize,Democratic,House of Representatives,67,0.9526,0.0474,241,253,0.8903,0.1097,1112,137,1249,false,ocd-person/ee575d7a-b5a1-419c-949d-4aa9290a67a1
Derrick Jackson,Democratic,House of Representatives,68,1.0,0.0,23,23,0.9846,0.0154,447,7,454,false,ocd-person/9046fcb2-f3eb-4233-bd92-32c94e60f9df
Debra Bazemore,Democratic,House of Representatives,69,1.0,0.0,337,337,0.9151,0.0849,1143,106,1249,false,ocd-person/1bb8d14b-9d5d-4edd-8c93-37e95991a8e4
Lynn Smith,Republican,House of Representatives,70,1.0,0.0,11,11,1.0,0.0,621,0,621,false,ocd-person/945875f7-f3c5-4c75-acd6-a195a0f76b12
Jutt Howard,Republican,House of Representatives,71,1.0,0.0,2,2,0.9756,0.0244,761,19,780,false,ocd-person/8b62e64b-bf80-4967-832b-8fb92cd6c4b3
David Huddleston,Republican,House of Representatives,72,1.0,0.0,344,344,0.9984,0.0016,1247,2,1249,false,ocd-person/9bcfa0eb-ee7d-4762-9555-7bc4a67d6417
Josh Bonner,Republican,House of Representatives,73,0.9971,0.0029,342,343,0.9752,0.0248,1218,31,1249,false,ocd-person/0e45048c-c1a4-415f-9ee4-5d09ea857e2e
Robert Flournoy,Democratic,House of Representatives,74,0.9474,0.0526,324,342,0.9856,0.0144,1231,18,1249,false,ocd-person/32c3fbdd-4034-47d0-b7ab-0411bd200737
Eric Bell,Democratic,House of Representatives,75,0.9909,0.0091,328,331,0.8959,0.1041,1119,130,1249,false,ocd-person/fe4b934e-8976-4c62-bcb0-ed8ae9782560
