voteId,date,bill,title,motionText,yea,nay,result,billUrl
ocd-vote/002bea19-31b8-4f4b-9dc3-0605ef339cfc,2026-06-17,SR 3,Adjournment; relative to,Senate Vote #5 - 2026 Special Session,45,5,Pass,https://www.legis.ga.gov/legislation/74751
ocd-vote/0a9cb28d-5d71-4a3e-9596-fe3aef86aaf4,2026-06-17,HR 2,General Assembly convened; notify Governor,Senate Vote #6 - 2026 Special Session,50,0,Pass,https://www.legis.ga.gov/legislation/74748
ocd-vote/4320ea2f-8b13-46b2-ad69-daf3e456336a,2026-06-17,SR 1,Senate Rules; adopt,Senate Vote #3 - 2026 Special Session,30,21,Pass,https://www.legis.ga.gov/legislation/74750
ocd-vote/d1003ec6-1a30-42de-8962-572a452bb936,2026-06-17,SR 1,Senate Rules; adopt,Senate Vote #4 - 2026 Special Session,30,21,Pass,https://www.legis.ga.gov/legislation/74750
ocd-vote/f959cf17-7160-4685-8073-30f79ea05461,2026-06-17,SR 1,Senate Rules; adopt,Senate Vote #2 - 2026 Special Session,29,21,Pass,https://www.legis.ga.gov/legislation/74750
ocd-vote/046d4918-b188-44ac-bbf3-8f8a98e65295,2026-06-20,HB 67,"Rome, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74831
ocd-vote/04dd4174-2c1a-4ac3-954c-1f4154f36582,2026-06-20,HB 11,Glynn County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74768
ocd-vote/060f64d6-0fe8-4c71-9a74-f52bce1dcfaf,2026-06-20,HB 9,Madison County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74765
ocd-vote/0e0f43b2-d376-4012-a032-3fc5ff23ba03,2026-06-20,HB 15,"McCaysville, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74772
ocd-vote/10edefde-8f20-42ad-a9cf-b57c4a282e4a,2026-06-20,HB 34,"Plains, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74791
ocd-vote/12749aad-657c-4c6e-be7b-9e7493d68b99,2026-06-20,HB 32,Baker County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74789
